title,text,label,category
ข่าวปลอม อย่าแชร์! เลือดของผู้ที่ฉีดวัคซีนโควิด 19 มีสีดำคล้ำ ไม่สามารถนำไปใช้รักษาผู้ป่วยได้,"ตามที่มีข้อความปรากฏในช่องทางออนไลน์เรื่องเลือดของผู้ที่ฉีดวัคซีนโควิด 19 มีสีดำคล้ำ ไม่สามารถนำไปใช้รักษาผู้ป่วยได้ ทางศูนย์ต่อต้านข่าวปลอมได้ดำเนินการตรวจสอบข้อเท็จจริงกับทางสภากาชาดไทย พบว่าประเด็นดังกล่าวนั้น เป็นข้อมูลเท็จ
กรณีที่มีการโพสต์ข้อความโดยระบุว่าเลือดของผู้ที่ฉีดวัคซีนโควิด 19 มีสีดำคล้ำ ไม่สามารถนำไปใช้รักษาผู้ป่วยได้ ทางสภากาชาดไทย ได้ตรวจสอบข้อมูลและชี้แจงว่าผู้ที่ได้รับการฉีดวัคซีนโควิด 19 จะฉีดเข้าที่กล้ามเนื้อ และร่างกายจะเปลี่ยนแปลงเป็นภูมิคุ้มกัน เช่นเดียวกับการฉีดวัคซีนชนิดอื่น ๆ อาทิ วัคซีนไข้หวัดใหญ่ ซึ่งไม่ทำให้สีของโลหิตมีสีดำคล้ำ และเกิดการเปลี่ยนแปลงสีแต่อย่างใด เพราะโลหิตเป็นของเหลว “สีแดง” ที่ไหลเวียนอยู่ภายในหลอดเลือดทั่วร่างกาย เกิดจากฮีโมโกลบิล ทำหน้าที่ในการนำออกซิเจนจากปอดไปยังส่วนต่าง ๆ ของร่างกาย และนำคาร์บอนไดออกไซค์จากส่วนต่าง ๆ ของร่างกายไปขับออกที่ปอด ทำให้เม็ดเลือดแดงในหลอดเลือดแดงมีระดับออกซิเจนปริมาณสูง เลือดจึงมีสีแดงสด
ส่วนเม็ดเลือดแดงในหลอดเลือดดำมีปริมาณออกซิเจนลดลง และมีปริมาณคาร์บอนไดออกไซค์สูงกว่า เลือดจึงมีสีแดงคล้ำเมื่อบริจาคโลหิตแต่ละครั้ง เจ้าหน้าที่จะเจาะเก็บโลหิตจากข้อพับแขนที่เส้นเลือดดำ ทำให้โลหิตบริจาคมีสีแดงคล้ำกว่าเส้นเลือดจากหลอดเลือดแดง เป็นปกติของทุกคน

ดังนั้นขอให้ประชาชนอย่าหลงเชื่อข้อมูลดังกล่าว และขอความร่วมมือไม่ส่ง หรือแชร์ข้อมูลดังกล่าวต่อในช่องทางสื่อสังคมออนไลน์ต่าง ๆ และเพื่อให้ประชาชนได้รับข้อมูลข่าวสารจากสภากาชาดไทย สามารถติดตามได้ที่เว็บไซต์ www.redcross.or.th หรือโทร. 1664
บทสรุปของเรื่องนี้คือ : ผู้ที่ได้รับการฉีดวัคซีนโควิด 19 จะฉีดเข้าที่กล้ามเนื้อ และร่างกายจะเปลี่ยนแปลงเป็นภูมิคุ้มกัน เช่นเดียวกับการฉีดวัคซีนชนิดอื่น ๆ ซึ่งไม่ทำให้สีของโลหิตมีสีดำคล้ำและเกิดการเปลี่ยนแปลงสีแต่อย่างใด สามารถบริจาคโลหิตได้ และไม่เป็นอันตรายต่อผู้รับโลหิต",False,covid-19
สธ. สั่งทุกรพ. เปิดจุดฉีดวัคซีนโควิด 19 กลุ่มเสี่ยง 608 จริงหรือ?,ตามที่มีข้อมูลในสื่อต่าง ๆ เกี่ยวกับประเด็นเรื่องสธ. สั่งทุกรพ. เปิดจุดฉีดวัคซีนโควิด 19 กลุ่มเสี่ยง 608 ทางศูนย์ต่อต้านข่าวปลอมได้ดำเนินการตรวจสอบข้อเท็จจริงโดยสำนักงานปลัดกระทรวงสาธารณสุข กระทรวงสาธารณสุข พบว่าประเด็นดังกล่าวนั้น เป็นข้อมูลจริง,True,covid-19
ข่าวปลอม อย่าแชร์! ผู้ที่ดื่มเครื่องดื่มแอลกอฮอล์ จะไม่ติดเชื้อโควิด 19 และดื่มทุกวันจะให้ผลดีกว่าการออกกำลังกาย,"ตามที่มีข้อความในประเด็นเรื่องผู้ที่ดื่มเครื่องดื่มแอลกอฮอล์ จะไม่ติดเชื้อโควิด 19 และดื่มทุกวันจะให้ผลดีกว่าการออกกำลังกาย ทางศูนย์ต่อต้านข่าวปลอมได้ดำเนินการตรวจสอบข้อเท็จจริงโดยกรมการแพทย์ กระทรวงสาธารณสุข พบว่าประเด็นดังกล่าวนั้น เป็นข้อมูลเท็จ
จากกรณีที่มีการแนะนำระบุว่าผู้ที่ดื่มเครื่องดื่มแอลกอฮอล์ จะไม่ติดเชื้อโควิด 19 และดื่มทุกวันจะให้ผลดีกว่าการออกกำลังกาย ทางกรมการแพทย์ กระทรวงสาธารณสุข ได้ตรวจสอบข้อมูลและชี้แจงว่าผู้ที่ดื่มแอลกอฮอล์เป็นประจำจะทำให้ภูมิคุ้มกันร่างกายลดลง ทำให้เม็ดเลือดขาวทำงานฆ่าเชื้อโรคในร่างกายได้ไม่เต็มที่ มีโอกาสติดเชื้อต่าง ๆ ได้ง่ายขึ้น รวมไปถึงการติดเชื้อโควิด 19 ด้วย ทั้งนี้ การรวมกลุ่มเพื่อดื่มสังสรรค์จะเพิ่มความเสี่ยงให้เกิดการแพร่ระบาดมากยิ่งขึ้น อีกทั้งยังพบผู้ป่วยที่มีประวัติดื่มสุรา ติดเชื้อโควิด 19 และเข้ารับการรักษา  
ทำให้ผู้ป่วยติดเชื้อโควิด 19 ที่มีอาการถอนสุรารุนแรง ต้องสังเกตอาการใกล้ชิด บางรายต้องใช้เครื่องให้ออกซิเจนอัตราการไหลสูง พบมีความเสี่ยงต้องใส่ท่อช่วยหายใจ และเสียชีวิตสูงเมื่อเทียบกับคนไข้ที่ไม่มีประวัติดื่มแอลกอฮอล์ 

ดังนั้นขอให้ประชาชนอย่าหลงเชื่อข้อมูลดังกล่าว และขอความร่วมมือไม่ส่ง หรือแชร์ข้อมูลดังกล่าวต่อในช่องทางสื่อสังคมออนไลน์ต่าง ๆ และเพื่อให้ประชาชนได้รับข้อมูลข่าวสารจากกรมการแพทย์ กระทรวงสาธารณสุข สามารถติดตามได้ที่เว็บไซต์ www.dms.go.th หรือโทร. 02-590-6000
บทสรุปของเรื่องนี้คือ : ผู้ที่ดื่มแอลกอฮอล์เป็นประจำจะทำให้ภูมิคุ้มกันร่างกายลดลงทำให้เม็ดเลือดขาวทำงานฆ่าเชื้อโรคในร่างกายได้ไม่เต็มที่ มีโอกาสติดเชื้อต่าง ๆ และเสียชีวิตสูงเมื่อเทียบกับคนไข้ที่ไม่มีประวัติดื่มแอลกอฮอล์",False,covid-19
ข่าวปลอม อย่าแชร์! อาการเตือนการติดเชื้อโควิด 19 แบบวันต่อวันจากกระทรวงสาธารณสุข,"ตามที่มีการส่งต่อข้อมูลเกี่ยวกับประเด็นอาการเตือนการติดเชื้อโควิด 19 แบบวันต่อวันจากกระทรวงสาธารณสุข ทางศูนย์ต่อต้านข่าวปลอมได้ดำเนินการตรวจสอบข้อเท็จจริงกับทางสำนักงานปลัดกระทรวงสาธารณสุข กระทรวงสาธารณสุข พบว่าประเด็นดังกล่าวนั้น เป็นข้อมูลเท็จ
กรณีการโพสต์และแชร์ข้อความถึงอาการเตือนของการติดเชื้อโควิด 19 แบบวันต่อวัน และมีการระบุถึงสายพันธุ์ B.1.1.7 พร้อมกล่าวว่าข้อมูลดังกล่าวสรุปจากกระทรวงสาธารณสุขนั้น ทางสำนักงานปลัดกระทรวงสาธารณสุข กระทรวงสาธารณสุข ได้ตรวจสอบข้อมูลและชี้แจงว่ากระทรวงสาธารณสุขไม่ได้เป็นผู้ให้ข้อมูลดังกล่าว และจากการตรวจสอบพบว่าสายพันธุ์ B.1.1.7 ซึ่งก็คือ สายพันธุ์อัลฟาที่เคยระบาดในประเทศไทยเมื่อปี 2564 เป็นการนำข่าวปลอมเดิมกลับมาปรับแต่งแล้วแชร์ใหม่ ขอให้กับประชาชนอย่าหลงเชื่อและควรตรวจสอบข้อมูลก่อนแชร์ทุกครั้ง เพื่อไม่ให้เกิดความตื่นตระหนก
โดยการระบาดของโรคโควิด 19 ในประเทศไทยขณะนี้ ส่วนใหญ่เป็นสายพันธุ์โอมิครอน ซึ่งมีการแพร่กระจายเชื้อได้เร็วกว่าสายพันธ์อื่น ผู้ติดเชื้อมักไม่มีอาการหรือมีอาการเล็กน้อย ทำให้อาจติดเชื้อและแพร่เชื้อสู่ผู้อื่นได้โดยไม่รู้ตัว ดังนั้นสิ่งสำคัญคือการเข้มการป้องกันโควิด 19 ตามมาตรการ 2U คือ Universal Prevention มาตรการป้องกันโรคส่วนบุคคล เว้นระยะห่าง ล้างมือบ่อย ๆ หากต้องพบผู้อื่นให้สวมหน้ากากตลอดเวลาเพื่อลดความเสี่ยง ตรวจ ATK ทันทีเมื่อมีอาการป่วย และ Universal Vaccination ฉีดวัคซีนป้องกันโรคโควิด 19 ให้ครบ 3 เข็ม และฉีดเข็มกระตุ้นทุก 4 เดือน โดยเฉพาะกลุ่มผู้สูงอายุ 60 ปีขึ้นไป ผู้ที่มีโรคประจำตัวเรื้อรัง ซึ่งการฉีดวัคซีนเข็มกระตุ้นจะเป็นปัจจัยสำคัญช่วยลดการป่วยอาการหนักและเสียชีวิตได้

ดังนั้นขอให้ประชาชนอย่าหลงเชื่อข้อมูลดังกล่าว และขอความร่วมมือไม่ส่ง หรือแชร์ข้อมูลดังกล่าวต่อในช่องทางสื่อสังคมออนไลน์ต่างๆ และเพื่อให้ประชาชนได้รับข้อมูลข่าวสารจากทางกระทรวงสาธารณสุขสามารถติดตามได้ที่เว็บไซต์ https://www.moph.go.th หรือโทร 02-590-1000
บทสรุปของเรื่องนี้คือ : เป็นการนำข่าวปลอมเดิมกลับมาปรับแต่งแล้วแชร์ใหม่ โดยกระทรวงสาธารณสุขไม่ได้เป็นผู้ให้ข้อมูลดังกล่าว อีกทั้งปัจจุบันการระบาดส่วนใหญ่เป็นสายพันธุ์โอมิครอน",False,covid-19
ข่าวปลอม อย่าแชร์! ยาฆ่าเชื้อพยาธิ Ivermectin ใช้รักษาโควิด 19 ได้,"ตามที่มีการเผยแพร่ข้อมูลในสื่อออนไลน์ต่าง ๆ เกี่ยวกับประเด็นเรื่องยาฆ่าเชื้อพยาธิ Ivermectin ใช้รักษาโควิด 19 ได้ ทางศูนย์ต่อต้านข่าวปลอมได้ดำเนินการตรวจสอบข้อเท็จจริงกับสำนักงานคณะกรรมการอาหารและยา กระทรวงสาธารณสุข พบว่าประเด็นดังกล่าวนั้น เป็นข้อมูลเท็จ
จากที่มีการบอกต่อข้อมูลว่ายาฆ่าเชื้อพยาธิ Ivermectin ใช้รักษาโควิด 19 ได้ ทางสำนักงานคณะกรรมการอาหารและยา กระทรวงสาธารณสุข ได้ตรวจสอบข้อมูลและชี้แจงว่ายา Ivermectin ยังมีข้อมูลการศึกษาด้านประสิทธิภาพในการรักษาโรคติดเชื้อโควิด 19 ไม่เพียงพอ จึงยังไม่สามารถสรุปถึงประสิทธิภาพในการรักษาโรคติดเชื้อโควิด 19 และยังไม่สามารถกำหนดแนวทางการใช้ยา Ivermectin ในการรักษาโรคติดเชื้อวิด 19 ได้
ทั้งนี้ โรคติดเชื้อโควิด 19 เกิดจากเชื้อไวรัส Severe Acute Respiratory Syndrome Coronavirus (SARs-CoV-2) และยา Ivermectin เป็นยาที่ได้รับการรับรองให้ใช้ในการรักษาโรคติดเชื้อจากหนอนพยาธิตัวกลม แต่ยังไม่ได้รับการรับรองให้ใช้ในการรักษาการติดเชื้อไวรัสแต่อย่างใด โดยองค์การอนามัยโลกให้ใช้เฉพาะการศึกษาวิจัยทางคลินิกกับผู้ติดเชื้อโควิด 19 เท่านั้น

ดังนั้นขอให้ประชาชนอย่าหลงเชื่อข้อมูลดังกล่าว และขอความร่วมมือไม่ส่ง หรือแชร์ข้อมูลดังกล่าวต่อในช่องทางสื่อสังคมออนไลน์ต่าง ๆ และเพื่อให้ประชาชนได้รับข้อมูลข่าวสารเกี่ยวกับผลิตภัณฑ์ทางด้านสุขภาพ สามารถติดตามได้ที่เว็บไซต์ www.fda.moph.go.th หรือโทรสายด่วน 1556
บทสรุปของเรื่องนี้คือ : ยา Ivermectin ยังมีข้อมูลการศึกษาด้านประสิทธิภาพในการรักษาโรคติดเชื้อโควิด 19 ไม่เพียงพอ จึงยังไม่สามารถสรุปถึงประสิทธิภาพในการรักษาโรคติดเชื้อโควิด 19 และยังไม่สามารถกำหนดแนวทางการใช้ยา Ivermectin ในการรักษาโรคติดเชื้อวิด 19 ได้",False,covid-19
ศูนย์ฉีดวัคซีนโควิด 19 กทม. อาคารกีฬาเวสน์ 1 จะเปิดให้บริการถึงเดือนพ.ย. จริงหรือ ?,"ตามที่มีข้อมูลในสื่อต่าง ๆ เกี่ยวกับประเด็นเรื่องศูนย์ฉีดวัคซีนโควิด 19 กทม. อาคารกีฬาเวสน์ 1 จะเปิดให้บริการถึงเดือนพ.ย. ทางศูนย์ต่อต้านข่าวปลอมได้ดำเนินการตรวจสอบข้อเท็จจริงโดยสำนักงานประชาสัมพันธ์ กรุงเทพมหานคร พบว่าประเด็นดังกล่าวนั้น เป็นข้อมูลจริง
ศูนย์ฉีดวัคซีนป้องกันโรคโควิด 19 กรุงเทพมหานคร ณ อาคารกีฬาเวสน์ 1 ศูนย์เยาวชนกรุงเทพมหานคร (ไทย – ญี่ปุ่น) เขตดินแดง ได้เปิดให้บริการแก่ผู้มีอายุ 5 ปีขึ้นไป ทุกสัญชาติ สำหรับวัคซีนทุกเข็ม ดังนี้
– เปิดให้บริการทุกวัน ถึงวันที่ 31 ตุลาคม 2565
– ส่วนในเดือนพฤศจิกายน จะเปิดให้บริการเฉพาะวันเสาร์ – อาทิตย์ และจะหยุดให้บริการเป็นเดือนสุดท้าย
– ผู้ประสงค์รับวัคซีนสามารถเข้ารับบริการได้โดยจองผ่านแอป QueQ หรือวอล์คอิน (Walk in) ระหว่างเวลา 08.00 – 16.00 น.
– ผู้สูงอายุ 60 ปีขึ้นไป ผู้มีโรคประจำตัว 7 กลุ่มโรค และหญิงตั้งครรภ์ ควรเข้ารับบริการฉีดวัคซีนป้องกันโรคโควิด 19 เพื่อสร้างภูมิคุ้มกัน ลดความรุนแรงของอาการ และลดโอกาสการเสียชีวิต
แม้ฉีดวัคซีนแล้วยังคงต้องรักษาสุขภาพต่อเนื่อง สวมหน้ากากอนามัยเมื่ออยู่ในพื้นที่ที่มีความแออัดสูง และหมั่นล้างมือเพื่อป้องกันเชื้อโรค

ทั้งนี้ เพื่อให้ประชาชนได้รับข้อมูลข่าวสารจากสำนักงานประชาสัมพันธ์ กรุงเทพมหานคร สามารถติดตามได้ที่เว็บไซต์ https://www.prbangkok.com/th หรือโทร 0-2221-2141-69",True,covid-19
ผู้ประกันตนติดโควิด 19 สามารถเลือกรักษาระบบ Telemedicine ผ่าน 3 แอปฯ ได้แล้ว จริงหรือ?,"ตามที่มีการแชร์ข้อมูลในสื่อต่างๆ เกี่ยวกับประเด็นเรื่องผู้ประกันตนติดโควิด 19 สามารถเลือกรักษาระบบ Telemedicine ผ่าน 3 แอปฯ ได้แล้ว ทางศูนย์ต่อต้านข่าวปลอมได้ดำเนินการตรวจสอบข้อเท็จจริงโดยสำนักงานหลักประกันสุขภาพแห่งชาติ (สปสช.) กระทรวงสาธารณสุข พบว่าประเด็นดังกล่าวนั้น เป็นข้อมูลจริง
สปสช. ให้บริการผู้ป่วยโควิด 19 สิทธิหลักประกันสุขภาพ 30 บาท หรือสิทธิบัตรทอง และสิทธิพนักงานส่วนท้องถิ่น ผ่านระบบการแพทย์ทางไกล ร่วมกับ บริษัท กู๊ด ด็อกเตอร์ เทคโนโลยี (ประเทศไทย) ผู้ให้บริการแอปพลิเคชัน Good Doctor Technology และ ทรู เฮลท์ บริษัท ทรู ดิจิทัล กรุ๊ป จำกัด ผู้พัฒนาแอปพลิเคชัน MorDee (หมอดี) และบริษัท คลิกนิก เฮลท์ จำกัด ผู้ให้บริการแอปพลิเคชัน Clicknic (คลิกนิก) ตั้งแต่วันที่ 11 กรกฎาคม 2565 ที่ผ่านมา และสวัสดิการข้าราชการ เมื่อ 6 สิงหาคม 2565
ล่าสุดสำนักงานประกันสังคม ได้ออกประกาศหลักเกณฑ์การดูแลผู้ติดเชื้อโควิดฉบับใหม่ (ประกาศคณะกรรมการการแพทย์ตามพระราชบัญญัติประกันสังคม เรื่อง หลักเกณฑ์ และอัตราค่าบริการทางการแพทย์กรณีโรคติดเชื้อไวรัสโคโรนา 2019 หรือโรคโควิด 19) โดยครอบคลุมถึงการให้บริการระบบการแพทย์ทางไกล ซึ่งจะทำให้ผู้ประกันตนที่เป็นผู้ป่วยโควิดสามารถเข้ารับบริการระบบการแพทย์ทางไกล ที่ สปสช. ดำเนินการร่วมกับผู้ให้บริการระบบการแพทย์ทางไกลทั้ง 3 แอปพลิเคชันได้ เช่นเดียวกับผู้ป่วยโควิดสิทธิบัตรทองและสิทธิสวัสดิการข้าราชการ ตั้งแต่ 15 สิงหาคม 2565 เป็นต้นไป

ทั้งนี้ เพื่อให้ประชาชนได้รับข้อมูลข่าวสารจากสำนักงานหลักประกันสุขภาพแห่งชาติ (สปสช.) สามารถติดตามได้ที่เว็บไซต์ www.nhso.go.th หรือโทรสายด่วน 1330 หรือเพิ่มเพื่อนไลน์กับ สปสช. พิมพ์ @nhso สอบถามข้อมูล",True,covid-19
ข่าวปลอม อย่าแชร์! รายชื่อยาทั้ง 6 ชนิด ที่ควรซื้อติดบ้านไว้รักษาโควิด 19 ด้วยตัวเอง,"ตามที่ได้มีการส่งต่อข้อมูลในประเด็นเรื่องรายชื่อยาทั้ง 6 ชนิด ที่ควรซื้อติดบ้านไว้รักษาโควิด 19 ด้วยตัวเอง ทางศูนย์ต่อต้านข่าวปลอมได้ดำเนินการตรวจสอบข้อเท็จจริงโดยกรมการแพทย์ กระทรวงสาธารณสุข พบว่าประเด็นดังกล่าวนั้น เป็นข้อมูลเท็จ
จากกรณีที่มีการส่งต่อข้อมูลเรื่องยารักษาโควิด 19 ที่ต้องเตรียมไว้เพื่อรักษาตนเองที่บ้าน 6 ชนิด คือ ยาพาราเซตามอล แอมบรอกซอล เดกซ์โทรเมทอร์แฟน คลอเฟนิรามีน วิตามินซี และฟ้าทะลายโจรนั้น ทางกรมการแพทย์ กระทรวงสาธารณสุข ได้ตรวจสอบเรื่องดังกล่าวและชี้แจงว่าผู้ป่วยโควิด 19 ที่ต้องการเข้าร่วมโครงการ home isolation ต้องได้รับการอนุญาตจากแพทย์เท่านั้น โดยการจ่ายยารักษาผู้ป่วยที่กักตัวที่บ้านเป็นไปตามที่แพทย์ประเมินอาการรายบุคคล เพราะการรับประทานยาเอง อาจทำให้เกิดอันตรายจากภาวะแทรกซ้อนของยาได้
ซึ่งกรมการแพทย์เผยแพร่แนวทาง Home isolation (การแยกกักตัวที่บ้าน) เป็นแนวทางสำหรับผู้ป่วยโควิด 19 ที่ระหว่างรอ admit โรงพยาบาล แพทย์พิจารณาว่ารักษาที่บ้านได้ และรักษาที่โรงพยาบาลหรือสถานที่รัฐจัดให้อย่างน้อย 10 วันและจำหน่ายกลับบ้านเพื่อรักษาต่อเนื่องที่บ้านโดยวิธี Home isolation
ส่วนผู้ที่เข้าเกณฑ์การทำ Home isolation ประกอบด้วย 
1.เป็นผู้ติดเชื้อที่สบายดีหรือ ไม่มีอาการ (asymptomatic cases) 
2.มีอายุน้อยกว่า 60 ปี 
3.มีสุขภาพร่างกายแข็งแรง 
4.อยู่คนเดียว หรือ มีผู้อยู่ร่วมที่พักไม่เกิน 1คน

ไม่มีภาวะอ้วน (ภาวะอ้วน หมายถึง ดัชนีมวลกาย > 3030กก./ม.2 หรือ น้ำหนักตัว > 90 กก.) 

6.ไม่มีโรคร่วม ดังต่อไปนี้ โรคปอดอุดกั้นเรื้อรัง (COPD) โรคไตเรื้อรัง (CKD Stage 3,4 ) โรคหัวใจและหลอดเลือด โรคหลอดเลือดสมอง เบาหวานที่ควบคุมไม่ได้ หรือโรคอื่นๆตามดุลยพินิจของแพทย์ 
7.ยินยอมแยกตัวในที่พักของตนเอง

ดังนั้นขอให้ประชาชนอย่าหลงเชื่อข้อมูลดังกล่าว และขอความร่วมมือไม่ส่ง หรือแชร์ข้อมูลดังกล่าวต่อในช่องทางสื่อสังคมออนไลน์ต่าง ๆ เพื่อให้ประชาชนได้รับข้อมูลข่าวสารจากกรมการแพทย์ สามารถติดตามได้ที่ www.dms.go.th หรือโทร 02 5906000
บทสรุปของเรื่องนี้คือ : ผู้ป่วยโควิด 19 ที่ต้องการเข้าร่วมโครงการ home isolation ต้องได้รับการอนุญาตจากแพทย์เท่านั้น โดยการจ่ายยารักษาผู้ป่วยที่กักตัวที่บ้านเป็นไปตามที่แพทย์ประเมินอาการรายบุคคล เพราะการรับประทานยาเอง อาจทำให้เกิดอันตราย จากภาวะแทรกซ้อนของยาได้",False,covid-19
 อย่าแชร์!  ทานเนื้อวัว นมวัว ประจำเลือดมักเป็นกรด จะทำให้เชื้อไวรัสโควิด 19 เจริญเติบโตได้เป็นอย่างดี,"กรณีการเผยแพร่ข้อมูลว่าผู้ที่ทานเนื้อวัว นมวัวเป็นประจำทำให้เลือดในร่างกายเป็นกรด ซึ่งเมื่อเจอกับเชื้อไวรัสโควิด 19 ทำให้เชื้อเติบโตได้เป็นอย่างดีนั้น ทางสำนักโภชนาการ กรมอนามัย กระทรวงสาธารณสุข ได้ตรวจสอบเรื่องดังกล่าวและชี้แจงว่าความเป็นกรดด่างของเลือด ไม่ได้มีการเปลี่ยนแปลงได้ง่ายด้วยการรับประทานอาหารเพียงอย่างเดียว ระบบการทำงานร่างกายจะมีกลไกการควบคุมอวัยวะในร่างกายให้ทำงานได้ตามปกติ การกินอาหารที่เป็นกรดหรือด่าง จึงไม่สามารถที่จะลดหรือทำลายไวรัสโควิดในร่างกายได้

โดยข้อมูลข้างต้นไม่เป็นความจริง และทำให้เกิดความเข้าใจผิดในการรับประทานอาหาร เนื้อวัวและนมวัว ซึ่งควรกินอาหารให้ครบ 5 หมู่ แต่ละหมู่ให้หลากหลาย ปริมาณ สัดส่วนที่เหมาะสม มีคุณค่าทางโภชนาการครบถ้วน เพียงพอ มีสุขอนามัยส่วนบุคคลที่ดี ร่วมกับการออกกำลังกายอย่างเหมาะสมและสม่ำเสมอ นอนหลับพักผ่อนให้เพียง",False,covid-19
